ID; Name; Description; Icon
203; Warsong Gulch Victory; Win Warsong Gulch.; achievement_bg_winwsg
204; Warsong Gulch Veteran; Complete 5 victories in Warsong Gulch.; achievement_bg_winwsg
205; Warsong Gulch Veteran; Complete 10 victories in Warsong Gulch.; achievement_bg_winwsg
206; Warsong Gulch Veteran; Complete 25 victories in Warsong Gulch.; achievement_bg_winwsg
207; Warsong Gulch Veteran; Complete 50 victories in Warsong Gulch.; achievement_bg_winwsg
208; Arathi Basin Victory; Win Arathi Basin.; achievement_bg_winab
209; Arathi Basin Veteran; Complete 5 victories in Arathi Basin.; achievement_bg_winab
210; Arathi Basin Veteran; Complete 10 victories in Arathi Basin.; achievement_bg_winab
211; Arathi Basin Veteran; Complete 25 victories in Arathi Basin.; achievement_bg_winab
212; Arathi Basin Veteran; Complete 50 victories in Arathi Basin.; achievement_bg_winab
218; Valley Meat Grinder; Make 5 killing blows in one single battle for Alterac Valley and stay until it is over.; -Spell_Shadow_Summonimp
219; Valley Meat Grinder; Make 10 killing blows in one single battle for Alterac Valley and stay until it is over.; -Spell_Shadow_Summonimp
220; Valley Meat Grinder; Make 25 killing blows in one single battle for Alterac Valley and stay until it is over.; -Spell_Shadow_Summonimp
221; Valley Meat Grinder; Make 40 killing blows in one single battle for Alterac Valley and stay until it is over.; -Spell_Shadow_Summonimp
222; Undertaker; Assault a graveyard in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Divinespirit
223; There are never enough Coffins; Assault 2 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Divinespirit
224; There are never enough Coffins; Assault 3 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Divinespirit
225; There are never enough Coffins; Assault 4 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Divinespirit
226; Guardian of the Deceased; Defend a graveyard in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Prayerofspirit
227; Guardian of all Dead; Defend 2 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Prayerofspirit
228; Guardian of all Dead; Defend 3 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Prayerofspirit
229; Guardian of all Dead; Defend 4 graveyards in one single battle for Alterac Valley and stay until it is over.; -Spell_Holy_Prayerofspirit
230; Now it's mine!; Assault a tower in one single battle for Alterac Valley and stay until it is over.; -Ability_Thunderbolt
231; Now it's all mine!; Assault 2 towers in one single battle for Alterac Valley and stay to it is over.; -Ability_Thunderbolt
232; Now it's all mine!; Assault 3 towers in one single battle for Alterac Valley and stay to it is over.; -Ability_Thunderbolt
233; Now it's all mine!; Assault 4 towers in one single battle for Alterac Valley and stay to it is over.; -Ability_Thunderbolt
234; Tower Keeper; Defend a tower in one single battle for Alterac Valley and stay until it is over.; -Inv_Shield_05
235; Towers Keeper; Defend 2 towers in one single battle for Alterac Valley and stay until it is over.; -Inv_Shield_05
236; Towers Keeper; Defend 3 towers in one single battle for Alterac Valley and stay until it is over.; -Inv_Shield_05
237; Towers Keeper; Defend 4 towers in one single battle for Alterac Valley and stay until it is over.; -Inv_Shield_05
242; The Alterac Blitz; Win Alterac Valley in 6 minutes.; achievement_bg_winav_underxminutes
243; Military Honor; Get 10 honorable kills in one single battle for Warsong Gulch and stay until it is over.; -Ability_Rogue_Eviscerate
244; Military Honor; Get 25 honorable kills in one single battle for Warsong Gulch and stay until it is over.; -Ability_Rogue_Eviscerate
245; Military Honor; Get 50 honorable kills in one single battle for Warsong Gulch and stay until it is over.; -Ability_Rogue_Eviscerate
246; Military Honor; Get 75 honorable kills in one single battle for Warsong Gulch and stay until it is over.; -Ability_Rogue_Eviscerate
247; Capture the Flag; Personally carry and capture the flag in one single battle for Warsong Gulch and stay until it is over.; -Inv_Banner_03
248; Great Flag Bearer; Personally carry and capture 2 flags in one single battle for Warsong Gulch and stay until it is over.; -Inv_Banner_03
249; Great Flag Bearer; Personally carry and capture 3 flags in one single battle for Warsong Gulch and stay until it is over.; -Inv_Banner_03
250; Don't touch!; Return a flag as a defender in one single battle for Warsong Gulch and stay until it is over.; -Spell_Nature_Reincarnation
251; Don't touch anything!; Return 2 flags as a defender in one single battle for Warsong Gulch and stay until it is over.; -Spell_Nature_Reincarnation
252; Don't touch anything!; Return 3 flags as a defender in one single battle for Warsong Gulch and stay until it is over.; -Spell_Nature_Reincarnation
253; Warsong Expedience; Win Warsong Gulch in under 7 minutes.; achievement_bg_winwsg_underxminutes
254; Conquistador; Assault a flag in one single battle for Arathi Basin and stay until it is over.; -Ability_Eyeoftheowl
255; Proving Grounds; Assault 2 flags in one single battle for Arathi Basin and stay until it is over.; -Ability_Eyeoftheowl
256; Proving Grounds; Assault 3 flags in one single battle for Arathi Basin and stay until it is over.; -Ability_Eyeoftheowl
257; Proving Grounds; Assault 4 flags in one single battle for Arathi Basin and stay until it is over.; -Ability_Eyeoftheowl
258; Guardian; Defend a flag in one single battle for Arathi Basin and stay until it is over.; -Inv_Shield_06
259; Sentry; Defend 2 flags in one single battle for Arathi Basin and stay until it is over.; -Inv_Shield_06
260; Sentry; Defend 3 flags in one single battle for Arathi Basin and stay until it is over.; -Inv_Shield_06
261; Sentry; Defend 4 flags in one single battle for Arathi Basin and stay until it is over.; -Inv_Shield_06
262; Cats first, then everything else; Pat (/pat) the designated pets in Arathi Basin.; -ability_hunter_catlikereflexes
263; Let's Get This Done; Win Arathi Basin in 6 minutes.; achievement_bg_winab_underxminutes
264; Tower Defense; Defend 50 towers in Alterac Valley.; achievement_bg_defendxtowers_av
265; Alterac Grave Robber; Take 50 graveyards in Alterac Valley.; achievement_bg_xkills_avgraveyard
266; Flags Capturer; Personally carry and capture 50 flags in Warsong Gulch.; achievement_bg_captureflag_wsg
267; Persistent Defender; Return 50 flags as a defender in Warsong Gulch.; achievement_bg_interruptx_flagcapture_attempts
268; Me and the Cappin' Makin' it Happen; Take 50 flags in Arathi Basin.; achievement_bg_takexflags_ab
269; To The Rescue!; Come to the defense of a base in Arathi Basin 50 times by recapping the flag.; ability_warrior_victoryrush
270; Frostwolf Howler; Obtain a Frostwolf Howler.; -inv_jewelry_frostwolftrinket_01
271; Stormpike Battle Charger; Obtain a Stormpike Battle Charger.; -inv_jewelry_stormpiketrinket_01
279; Master of Alterac Valley; Complete the Alterac Valley achievements listed below.; -inv_jewelry_necklace_21
280; Master of Warsong Gulch; Complete the Warsong Gulch achievements listed below.; -inv_misc_rune_07
281; Master of Arathi Basin; Complete the Arathi Basin achievements listed below.; -inv_jewelry_amulet_07
283; Battlemaster; Complete the battleground achievements listed below.; achievement_pvp_a_15
284; Call to Arms!; Complete 10 battlegrounds.; -Inv_Musket_02
285; Call to Arms!; Complete 25 battlegrounds.; -Inv_Musket_02
286; Call to Arms!; Complete 50 battlegrounds.; -Inv_Musket_02
287; Deathbringer; Make 100 killing blows on any battleground.; -Spell_Shadow_Unholyfrenzy
288; Deathbringer; Make 250 killing blows on any battleground.; -Spell_Shadow_Unholyfrenzy
289; Deathbringer; Make 500 killing blows on any battleground.; -Spell_Shadow_Unholyfrenzy
290; Deathbringer; Make 750 killing blows on any battleground.; -Spell_Shadow_Unholyfrenzy
291; Deathbringer; Make 1000 killing blows on any battleground.; -Spell_Shadow_Unholyfrenzy
292; Honor Aggregator; Get 100 honorable kills on any battleground.; -Ability_Warrior_Innerrage
293; Honor Aggregator; Get 250 honorable kills on any battleground.; -Ability_Warrior_Innerrage
294; Honor Aggregator; Get 500 honorable kills on any battleground.; -Ability_Warrior_Innerrage
295; Honor Aggregator; Get 750 honorable kills on any battleground.; -Ability_Warrior_Innerrage
296; Honor Aggregator; Get 1000 honorable kills on any battleground.; -Ability_Warrior_Innerrage
297; Gurubashi Arena Master; Loot the Arena Master trinket from the Gurubashi Arena.; -Inv_Misc_ArmorKit_14
298; Gurubashi Arena Grand Master; Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.; -Inv_Misc_ArmorKit_04
299; Duel-icious; Win a duel against another player.; -ability_dualwieldspecialization
300; Duelist; Win in 10 duels.; -ability_dualwieldspecialization
301; Skilled Duelist; Win in 25 duels.; -ability_dualwieldspecialization
302; Master Duelist; Win in 100 duels.; -ability_dualwieldspecialization
303; Ragefire Chasm; Defeat Taragaman the Hungerer.; -spell_shadow_summonfelguard
304; Wailing Caverns; Defeat Mutanus the Devourer.; achievement_boss_mutanus_the_devourer
305; Deadmines; Defeat Edwin VanCleef.; achievement_boss_edwinvancleef
306; Shadowfang Keep; Defeat Archmage Arugal.; achievement_boss_archmagearugal
307; Blackfathom Deeps; Defeat Aku'mai.; achievement_boss_bazil_akumai
308; Stormwind Stockade; Defeat Bazil Thredd.; achievement_boss_bazil_thredd
309; Gnomeregan; Defeat Mekgineer Thermaplugg.; gnomeregan
310; Razorfen Kraul; Defeat Charlga Razorflank.; achievement_boss_charlgarazorflank
311; Scarlet Monastery; Defeat the Scarlet Crusade within the Scarlet Monastery.; -inv_helmet_52
312; Razorfen Downs; Defeat Amnennar the Coldbringer.; achievement_boss_amnennar_the_coldbringer
313; Uldaman; Defeat Archaedas.; achievement_boss_archaedas
314; Zul'Farrak; Defeat Chief Ukorz Sandscalp.; achievement_boss_chiefukorzsandscalp
315; Maraudon; Defeat Princess Theradras.; achievement_boss_princesstheradras
316; Sunken Temple; Defeat Shade of Eranikus.; achievement_boss_shadeoferanikus
317; Blackrock Depths; Defeat Emperor Dagran Thaurissan.; achievement_boss_emperordagranthaurissan
318; Clearing the Depths; Defeat the following bosses in Blackrock Depths.; -Spell_Fire_Lavaspawn
319; Party in the Guzzler; Defeat all listed opponents in the Grim Guzzler.; -inv_drink_05
320; The Best Defense Is an Attack; Loot the Stone of the Earth from the body of the defeated Panzor the Invincible in Blackrock Depths.; -Inv_Sword_47
321; Master of Blackrock Depths; Earn following achievements related to Blackrock Depths.; -Inv_Misc_AhnQirajTrinket_03
322; Lower Blackrock Spire; Defeat Overlord Wyrmthalak.; achievement_boss_overlord_wyrmthalak
323; Upper Blackrock Spire; Defeat General Drakkisath.; achievement_boss_generaldrakkisath
324; Invader of the Blackrock Spire; Earn the following achievements related to Blackrock Spire.; -Inv_Sword_48
325; King of Dire Maul; Defeat each wing of Dire Maul.; -Ability_Warrior_DecisiveStrike
326; Stratholme; Defeat the evil masterminds inhabiting Stratholme.; spell_deathknight_armyofthedead
327; Scholomance; Defeat the leaders of Scholomance.; -Spell_Holy_Senseundead
328; Young Defender of Azeroth; Earn the low-level dungeon achievements listed below.; -spell_holy_revivechampion
329; Defender of Azeroth; Earn the dungeon achievements listed below.; achievement_dungeon_classicraider
330; Onyxia's Lair; Defeat Onyxia.; achievement_boss_onyxia
331; Ruins of Ahn'Qiraj; Defeat Ossirian the Unscarred.; achievement_boss_ossiriantheunscarred
332; Zul'Gurub; Defeat Hakkar.; achievement_boss_hakkar
333; Molten Core; Defeat Ragnaros.; achievement_boss_ragnaros
334; Blackwing Lair; Defeat Nefarian.; achievement_boss_nefarion
335; Temple of Ahn'Qiraj; Defeat C'Thun.; achievement_boss_cthun
336; The Arachnid Quarter; Defeat the bosses of The Arachnid Quarter of Naxxramas.; -Inv_Trinket_Naxxramas04
337; The Plague Quarter; Defeat the bosses of The Plague Quarter of Naxxramas.; -inv_misc_cauldron_nature
338; The Military Quarter; Defeat the bosses of The Military Quarter of Naxxramas.; spell_deathknight_classicon
339; The Construct Quarter; Defeat the bosses of The Construct Quarter of Naxxramas.; ability_rogue_deviouspoisons
340; Kel'Thuzad's Defeat; Defeat Kel'Thuzad in Naxxramas.; -inv_trinket_naxxramas06
341; The Fall of Naxxramas; Earn the following Naxxramas related achievements.; achievement_dungeon_naxxramas_normal
342; Young Hero of Azeroth; Earn the raid achievements listed below.; achievement_dungeon_gloryofthehero
343; Lord of the Blackrock; Earn the following achievements related to the Blackrock dungeons and raids.; achievement_dungeon_classicdungeonmaster
344; Hero of Azeroth; Earn the raid achievements listed below.; achievement_dungeon_heroic_gloryoftheraider
345; Great Hero of Azeroth; Earn the raid and dungeon achievements listed below.; achievement_dungeon_gloryoftheraider
346; The Secret of the Blue Dragon; Defeat Azuregos.; achievement_boss_cyanigosa
347; Demons shall not pass; Defeat Lord Kazzak.; ability_warlock_demonicempowerment
348; No place for girls in a Nightmare; Defeat Ysondre.; achievement_boss_valithradreamwalker
349; Child of the Emerald Nightmare; Defeat Lethon.; achievement_boss_aeonus_01
350; Emeriss, Traitor to Life; Defeat Emeriss.; achievement_boss_malygos_01
351; Nightmarish Taerar; Defeat Taerar.; achievement_boss_eregos
352; Emerald Keeper; Defeat all Dragons of the Emerald Nightmare.; inv_misc_shadowegg
353; Leeeeeeeeeeeeeroy!; Kill 50 rookery whelps within 15 seconds.; ability_mount_drake_red
354; Double Breathing; Kill Ebonroc and Flamegor within 45 seconds.; ability_mount_drake_twilight
355; The Crypt Lord; Slay Anub'Rekhan, leaving both Crypt Guards alive.; achievement_boss_anubarak
356; Momma Said Knock You Out; Slay Grand Widow Faerlina, leaving all the worshipers and followers of Naxxramas alive.; -spell_shadow_curseofmannoroth
357; Arachnophobia; Kill Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 25-player mode.; achievement_halloween_spider_01
358; And They Would All Go Down Together; Defeat the 4 Horsemen in Naxxramas, ensuring that they all die within 15 seconds of each other.; spell_deathknight_summondeathcharger
359; We won't succumb to the ice; Defeat Sapphiron in Naxxramas without anyone in the raid dying.; -spell_frost_icestorm
414; Professional Apprentice; Raise the skill of any main profession to 75.; -Inv_Misc_Note_01
415; Professional Journeyman; Raise the skill of any main profession to 150.; -Inv_Misc_Note_01
416; Professional Expert; Raise the skill of any main profession to 225.; -Inv_Misc_Note_01
417; Professional Artisan; Raise the skill of any main profession to 300.; -Inv_Misc_Note_01
419; Handyman; Raise the skill of two main professions to 300 at the same time.; -ability_repair
421; Apprentice in First Aid; Raise the skill of first aid to 75.; -spell_holy_sealofsacrifice
422; Journeyman in First Aid; Raise the skill of first aid to 150.; -spell_holy_sealofsacrifice
423; Expert in First Aid; Raise the skill of first aid to 225.; -spell_holy_sealofsacrifice
424; Artisan in First Aid; Raise the skill of first aid to 300.; -spell_holy_sealofsacrifice
425; Apprentice Fisherman; Raise the skill of fishing to 75.; -trade_fishing
426; Journeyman Fisherman; Raise the skill of fishing to 150.; -trade_fishing
427; Expert Fisherman; Raise the skill of fishing to 225.; -trade_fishing
428; Artisan Fisherman; Raise the skill of fishing to 300.; -trade_fishing
429; Apprentice Cook; Raise the skill of cooking to 75.; -inv_misc_food_15
430; Journeyman Cook; Raise the skill of cooking to 150.; -inv_misc_food_15
431; Expert Cook; Raise the skill of cooking to 225.; -inv_misc_food_15
432; Artisan Cook; Raise the skill of cooking to 300.; -inv_misc_food_15
433; Skills to Pay the Bills; Become a Artisan in fishing, first aid and cooking.; -Inv_Misc_Note_02
438; Genius in Every Craft; Complete the profession achievements listed below.; -Spell_Magic_GreaterBlessingOfKings
440; Stocking Up; Craft 100 Heavy Runecloth Bandages.; -Inv_Misc_Bandage_12
441; Stocking Up; Craft 500 Heavy Runecloth Bandages.; -Inv_Misc_Bandage_12
